pos	mean_rec	L95	U95	contig
3191	0.31709	0.28182	0.35258	cp26
3256	0.31513	0.27958	0.35118	cp26
3424	0.31051	0.11076	0.34874	cp26
3619	0.30847	0.10326	0.34806	cp26
3685	0.30808	0.10186	0.34795	cp26
3759	0.30770	0.10118	0.34795	cp26
3828	0.30537	0.09441	0.34795	cp26
4004	0.28735	0.04859	0.34624	cp26
4005	0.16814	0.00484	0.33823	cp26
4031	0.06849	0.00164	0.31877	cp26
4307	0.03241	0.00115	0.10163	cp26
4404	0.02970	0.00115	0.09618	cp26
4469	0.02939	0.00115	0.09477	cp26
4547	0.02939	0.00115	0.09477	cp26
4572	0.02939	0.00115	0.09477	cp26
4682	0.02939	0.00115	0.09477	cp26
4826	0.02939	0.00115	0.09477	cp26
4834	0.02939	0.00115	0.09477	cp26
4837	0.02998	0.00115	0.09697	cp26
4912	0.04182	0.00124	0.24513	cp26
4944	0.09133	0.00192	0.28293	cp26
4996	0.17753	0.00964	0.30035	cp26
5128	0.27167	0.22592	0.33699	cp26
5242	0.27341	0.22899	0.33778	cp26
5290	0.27342	0.22899	0.33778	cp26
5371	0.27342	0.22899	0.33778	cp26
5461	0.27342	0.22899	0.33778	cp26
5486	0.27342	0.22899	0.33778	cp26
5495	0.27342	0.22899	0.33778	cp26
5537	0.27342	0.22899	0.33778	cp26
5544	0.27342	0.22899	0.33778	cp26
5596	0.27342	0.22899	0.33778	cp26
5668	0.27342	0.22899	0.33778	cp26
5692	0.27342	0.22899	0.33778	cp26
5719	0.27342	0.22899	0.33778	cp26
5734	0.27342	0.22899	0.33778	cp26
5761	0.27326	0.22864	0.33755	cp26
5771	0.26623	0.07549	0.33147	cp26
5830	0.25793	0.06901	0.32330	cp26
5942	0.25632	0.06885	0.32323	cp26
5984	0.23414	0.06677	0.31429	cp26
6040	0.18478	0.06460	0.30042	cp26
6052	0.09492	0.06335	0.26178	cp26
6054	0.07130	0.06316	0.07783	cp26
6059	0.07007	0.06316	0.07740	cp26
6062	0.07001	0.06316	0.07727	cp26
6064	0.06992	0.06316	0.07726	cp26
6076	0.06992	0.06316	0.07726	cp26
6079	0.06993	0.06321	0.07726	cp26
6103	0.06993	0.06321	0.07726	cp26
6126	0.06993	0.06321	0.07726	cp26
6145	0.06993	0.06321	0.07726	cp26
6184	0.06993	0.06321	0.07726	cp26
6189	0.06993	0.06321	0.07726	cp26
6235	0.06993	0.06321	0.07726	cp26
6237	0.06993	0.06321	0.07726	cp26
6240	0.06993	0.06321	0.07726	cp26
6262	0.06993	0.06321	0.07726	cp26
6273	0.06993	0.06321	0.07726	cp26
6321	0.06993	0.06321	0.07726	cp26
6360	0.06993	0.06321	0.07726	cp26
6389	0.06993	0.06321	0.07726	cp26
6398	0.06993	0.06321	0.07726	cp26
6428	0.06993	0.06321	0.07726	cp26
6455	0.06993	0.06321	0.07726	cp26
6459	0.06993	0.06321	0.07726	cp26
6464	0.06993	0.06321	0.07726	cp26
6555	0.06993	0.06321	0.07726	cp26
6572	0.06993	0.06321	0.07726	cp26
6594	0.06993	0.06321	0.07726	cp26
6618	0.06993	0.06321	0.07726	cp26
6632	0.06993	0.06321	0.07726	cp26
6660	0.06995	0.06323	0.07727	cp26
6718	0.06995	0.06323	0.07727	cp26
6853	0.06995	0.06323	0.07727	cp26
6928	0.06995	0.06323	0.07727	cp26
7012	0.06995	0.06323	0.07727	cp26
7014	0.06995	0.06323	0.07727	cp26
7015	0.06995	0.06323	0.07727	cp26
7084	0.06995	0.06323	0.07727	cp26
7285	0.06995	0.06323	0.07727	cp26
7288	0.06995	0.06323	0.07727	cp26
7323	0.06995	0.06323	0.07727	cp26
7418	0.06995	0.06323	0.07727	cp26
7699	0.06995	0.06323	0.07727	cp26
7841	0.06995	0.06323	0.07727	cp26
8024	0.06995	0.06323	0.07727	cp26
8075	0.06995	0.06323	0.07727	cp26
8111	0.06995	0.06323	0.07727	cp26
8344	0.06995	0.06323	0.07727	cp26
8376	0.06995	0.06323	0.07727	cp26
8385	0.06995	0.06323	0.07727	cp26
8459	0.06995	0.06323	0.07727	cp26
8496	0.06995	0.06323	0.07727	cp26
8526	0.06995	0.06323	0.07727	cp26
8543	0.06995	0.06323	0.07727	cp26
8573	0.06995	0.06323	0.07727	cp26
8608	0.06995	0.06323	0.07727	cp26
8619	0.06995	0.06323	0.07727	cp26
8624	0.06995	0.06323	0.07727	cp26
8707	0.06995	0.06323	0.07727	cp26
8721	0.06995	0.06323	0.07727	cp26
8724	0.06995	0.06323	0.07727	cp26
8844	0.06995	0.06323	0.07727	cp26
8858	0.07001	0.06323	0.07743	cp26
8870	0.07004	0.06326	0.07745	cp26
8936	0.07015	0.06328	0.07762	cp26
9138	0.07027	0.06329	0.07783	cp26
9182	0.07047	0.06330	0.07843	cp26
9206	0.07084	0.06335	0.07968	cp26
9266	0.07106	0.06350	0.09703	cp26
9475	0.07117	0.06350	0.10139	cp26
9490	0.07117	0.06350	0.10139	cp26
9576	0.07117	0.06350	0.10139	cp26
9589	0.07119	0.06350	0.10154	cp26
9592	0.07119	0.06350	0.10154	cp26
9601	0.07119	0.06350	0.10154	cp26
9745	0.07119	0.06350	0.10154	cp26
9763	0.07119	0.06350	0.10154	cp26
9784	0.07119	0.06350	0.10154	cp26
9928	0.07119	0.06350	0.10154	cp26
10079	0.07119	0.06350	0.10154	cp26
10145	0.07119	0.06350	0.10154	cp26
10150	0.07119	0.06350	0.10154	cp26
10176	0.07121	0.06350	0.10222	cp26
10187	0.07123	0.06350	0.10253	cp26
10238	0.07123	0.06350	0.10253	cp26
10254	0.07123	0.06350	0.10253	cp26
10260	0.07137	0.06352	0.10423	cp26
10277	0.07194	0.06352	0.10968	cp26
10289	0.07375	0.06352	0.12914	cp26
10310	0.07860	0.06355	0.14345	cp26
10364	0.08719	0.06369	0.15178	cp26
10396	0.09329	0.06373	0.15793	cp26
10595	0.09868	0.06377	0.16956	cp26
10611	0.11269	0.06421	0.30802	cp26
10613	0.26172	0.06867	0.50742	cp26
10671	0.29644	0.07232	0.55679	cp26
10798	0.36207	0.11274	1.11753	cp26
10854	0.27621	0.00667	0.52311	cp26
10924	0.09423	0.00187	0.33569	cp26
11004	0.06963	0.00168	0.16492	cp26
11031	0.06806	0.00168	0.16173	cp26
11079	0.06785	0.00168	0.16154	cp26
11080	0.06785	0.00168	0.16154	cp26
11160	0.06785	0.00168	0.16154	cp26
11180	0.06821	0.00168	0.16173	cp26
11196	0.09689	0.00243	0.34457	cp26
11205	0.17211	0.00478	0.35622	cp26
11220	0.31069	0.12761	0.37138	cp26
11271	0.33801	0.17026	0.37247	cp26
11350	0.34180	0.31719	0.37201	cp26
11414	0.34266	0.31815	0.37232	cp26
11429	0.34277	0.31839	0.37232	cp26
11441	0.34277	0.31839	0.37232	cp26
11944	0.34277	0.31839	0.37232	cp26
12275	0.34277	0.31839	0.37232	cp26
12289	0.34277	0.31839	0.37232	cp26
12307	0.34277	0.31839	0.37232	cp26
12346	0.34277	0.31839	0.37232	cp26
12401	0.34277	0.31839	0.37232	cp26
12415	0.34277	0.31839	0.37232	cp26
12421	0.34277	0.31839	0.37232	cp26
12424	0.34277	0.31839	0.37232	cp26
12446	0.34277	0.31839	0.37232	cp26
12455	0.34277	0.31839	0.37232	cp26
12545	0.34277	0.31839	0.37232	cp26
12547	0.34277	0.31839	0.37232	cp26
12553	0.34277	0.31839	0.37232	cp26
12563	0.34277	0.31839	0.37232	cp26
12580	0.34277	0.31839	0.37232	cp26
12616	0.34277	0.31839	0.37232	cp26
12746	0.34277	0.31839	0.37232	cp26
12847	0.34277	0.31839	0.37232	cp26
12877	0.34277	0.31839	0.37232	cp26
12941	0.34277	0.31839	0.37232	cp26
12967	0.34277	0.31839	0.37232	cp26
13102	0.34277	0.31839	0.37232	cp26
13108	0.34277	0.31839	0.37232	cp26
13123	0.34277	0.31839	0.37232	cp26
13258	0.34277	0.31839	0.37232	cp26
13261	0.34277	0.31839	0.37232	cp26
13288	0.34277	0.31839	0.37232	cp26
13289	0.34277	0.31839	0.37232	cp26
13333	0.34277	0.31839	0.37232	cp26
13420	0.34277	0.31839	0.37232	cp26
13438	0.34277	0.31839	0.37232	cp26
13441	0.34277	0.31839	0.37232	cp26
13493	0.34277	0.31839	0.37232	cp26
13534	0.34277	0.31839	0.37232	cp26
13555	0.34277	0.31839	0.37232	cp26
13567	0.34277	0.31839	0.37232	cp26
13944	0.34277	0.31839	0.37232	cp26
13981	0.34277	0.31839	0.37232	cp26
14091	0.34277	0.31839	0.37232	cp26
14093	0.34405	0.31839	0.37308	cp26
14109	0.35140	0.31862	0.56211	cp26
14142	0.35711	0.31881	0.66984	cp26
14277	0.36759	0.31882	0.71399	cp26
14334	0.39895	0.32001	0.76917	cp26
14349	0.47519	0.32250	0.85152	cp26
14356	0.59077	0.32676	0.90326	cp26
14358	0.75611	0.33762	0.97662	cp26
14467	0.79262	0.63635	0.98496	cp26
14521	0.79311	0.63814	0.98496	cp26
14555	0.79311	0.63814	0.98496	cp26
14658	0.79311	0.63814	0.98496	cp26
14661	0.79311	0.63814	0.98496	cp26
14703	0.79311	0.63814	0.98496	cp26
14832	0.79311	0.63814	0.98496	cp26
14892	0.79311	0.63814	0.98496	cp26
14913	0.79311	0.63814	0.98496	cp26
15033	0.79311	0.63814	0.98496	cp26
15075	0.79311	0.63814	0.98496	cp26
15171	0.79311	0.63814	0.98496	cp26
15194	0.68161	0.16650	0.96260	cp26
15312	0.40327	0.15913	0.87100	cp26
15366	0.18555	0.15449	0.21202	cp26
15395	0.18013	0.15449	0.20801	cp26
15411	0.17961	0.15446	0.20778	cp26
15440	0.17961	0.15446	0.20778	cp26
15507	0.17961	0.15446	0.20778	cp26
15513	0.17961	0.15446	0.20778	cp26
15603	0.17961	0.15446	0.20778	cp26
15604	0.17961	0.15446	0.20778	cp26
15642	0.17970	0.15449	0.20778	cp26
15665	0.17970	0.15449	0.20778	cp26
15705	0.17970	0.15449	0.20778	cp26
15711	0.17970	0.15449	0.20778	cp26
15758	0.17970	0.15449	0.20778	cp26
15771	0.17970	0.15449	0.20778	cp26
15786	0.17970	0.15449	0.20778	cp26
15792	0.17970	0.15449	0.20778	cp26
15807	0.17970	0.15449	0.20778	cp26
15813	0.17970	0.15449	0.20778	cp26
15842	0.17970	0.15449	0.20778	cp26
15896	0.17970	0.15449	0.20778	cp26
15926	0.17970	0.15449	0.20778	cp26
15933	0.17970	0.15449	0.20778	cp26
15969	0.17970	0.15449	0.20778	cp26
15975	0.17970	0.15449	0.20778	cp26
15981	0.17970	0.15449	0.20778	cp26
16008	0.17970	0.15449	0.20778	cp26
16035	0.17970	0.15449	0.20778	cp26
16049	0.17970	0.15449	0.20778	cp26
16164	0.17970	0.15449	0.20778	cp26
16176	0.17970	0.15449	0.20778	cp26
16189	0.18003	0.15446	0.20778	cp26
16196	0.17052	0.00433	0.20553	cp26
16206	0.13114	0.00032	0.19868	cp26
16230	0.06613	0.00010	0.19050	cp26
16233	0.01210	0.00007	0.16739	cp26
16239	0.00287	0.00007	0.00915	cp26
16245	0.00250	0.00007	0.00890	cp26
16247	0.00250	0.00007	0.00890	cp26
16254	0.00250	0.00007	0.00890	cp26
16266	0.00250	0.00007	0.00890	cp26
16289	0.00250	0.00007	0.00890	cp26
16331	0.00250	0.00007	0.00890	cp26
16333	0.00250	0.00007	0.00890	cp26
16343	0.00250	0.00007	0.00890	cp26
16344	0.00250	0.00007	0.00890	cp26
16347	0.00250	0.00007	0.00890	cp26
16353	0.00250	0.00007	0.00890	cp26
16371	0.00250	0.00007	0.00890	cp26
16401	0.00250	0.00007	0.00890	cp26
16422	0.00250	0.00007	0.00890	cp26
16431	0.00250	0.00007	0.00890	cp26
16436	0.00250	0.00007	0.00890	cp26
16437	0.00250	0.00007	0.00890	cp26
16466	0.00250	0.00007	0.00890	cp26
16467	0.00250	0.00007	0.00890	cp26
16488	0.00250	0.00007	0.00890	cp26
16497	0.00250	0.00007	0.00890	cp26
16505	0.00250	0.00007	0.00890	cp26
16509	0.00288	0.00007	0.00905	cp26
16541	0.03732	0.00007	0.37657	cp26
16563	0.35187	0.00369	0.42706	cp26
16611	0.37353	0.32894	0.45823	cp26
16617	0.37353	0.32894	0.45823	cp26
16620	0.37353	0.32894	0.45823	cp26
16623	0.37353	0.32894	0.45823	cp26
16646	0.37353	0.32894	0.45823	cp26
16655	0.37353	0.32894	0.45823	cp26
16657	0.37353	0.32894	0.45823	cp26
16671	0.37353	0.32894	0.45823	cp26
16686	0.37353	0.32894	0.45823	cp26
16704	0.37353	0.32894	0.45823	cp26
16728	0.37367	0.32895	0.45949	cp26
16743	0.37367	0.32895	0.45949	cp26
16749	0.37367	0.32895	0.45949	cp26
16764	0.37367	0.32895	0.45949	cp26
16925	0.37367	0.32895	0.45949	cp26
16932	0.37367	0.32895	0.45949	cp26
17029	0.37367	0.32895	0.45949	cp26
17030	0.37367	0.32895	0.45949	cp26
17061	0.37367	0.32895	0.45949	cp26
17064	0.37367	0.32895	0.45949	cp26
17068	0.37367	0.32895	0.45949	cp26
17085	0.37367	0.32895	0.45949	cp26
17086	0.37367	0.32895	0.45949	cp26
17090	0.37401	0.32895	0.45975	cp26
17091	0.37724	0.32905	0.46588	cp26
17092	0.37724	0.32905	0.46588	cp26
17097	0.37938	0.32905	0.46746	cp26
17102	0.38254	0.32905	0.47725	cp26
17110	0.38949	0.32905	0.51214	cp26
17127	0.42587	0.32959	1.02831	cp26
17137	0.50028	0.33136	1.06014	cp26
17139	0.60270	0.33492	1.07405	cp26
17142	0.78112	0.33896	1.08973	cp26
17157	0.96665	0.36573	1.10366	cp26
17163	1.01523	0.93591	1.10405	cp26
17164	1.02732	0.96173	1.10431	cp26
17193	1.02866	0.96372	1.10431	cp26
17196	1.02866	0.96372	1.10431	cp26
17199	1.02866	0.96372	1.10431	cp26
17206	1.02866	0.96372	1.10431	cp26
17208	1.02866	0.96372	1.10431	cp26
17215	1.02866	0.96372	1.10431	cp26
17236	1.02866	0.96372	1.10431	cp26
17239	1.02866	0.96372	1.10431	cp26
17257	1.02866	0.96372	1.10431	cp26
17269	1.02866	0.96372	1.10431	cp26
17271	1.02866	0.96372	1.10431	cp26
17272	1.02866	0.96372	1.10431	cp26
17278	1.02866	0.96372	1.10431	cp26
17283	1.02866	0.96372	1.10431	cp26
17286	1.02866	0.96372	1.10431	cp26
17288	1.02866	0.96372	1.10431	cp26
17292	1.02866	0.96372	1.10431	cp26
17295	1.02866	0.96372	1.10431	cp26
17296	1.02866	0.96372	1.10431	cp26
17304	1.02866	0.96372	1.10431	cp26
17305	1.02866	0.96372	1.10431	cp26
17308	1.02866	0.96372	1.10431	cp26
17313	1.02866	0.96372	1.10431	cp26
17314	1.02866	0.96372	1.10431	cp26
17337	1.02866	0.96372	1.10431	cp26
17351	1.02866	0.96372	1.10431	cp26
17352	1.02866	0.96372	1.10431	cp26
17364	1.02866	0.96372	1.10431	cp26
17368	1.02866	0.96372	1.10431	cp26
17371	1.02866	0.96372	1.10431	cp26
17382	1.02866	0.96372	1.10431	cp26
17385	1.02866	0.96372	1.10431	cp26
17387	1.02866	0.96372	1.10431	cp26
17391	1.02866	0.96372	1.10431	cp26
17406	1.02866	0.96372	1.10431	cp26
17409	1.02866	0.96372	1.10431	cp26
17414	1.02866	0.96372	1.10431	cp26
17421	1.02866	0.96372	1.10431	cp26
17425	1.02866	0.96372	1.10431	cp26
17428	1.02866	0.96372	1.10431	cp26
17430	1.02866	0.96372	1.10431	cp26
17432	1.02866	0.96372	1.10431	cp26
17434	1.02866	0.96372	1.10431	cp26
17437	1.02866	0.96372	1.10431	cp26
17439	1.02866	0.96372	1.10431	cp26
17442	1.02866	0.96372	1.10431	cp26
17443	1.02866	0.96372	1.10431	cp26
17445	1.02866	0.96372	1.10431	cp26
17446	1.02866	0.96372	1.10431	cp26
17451	1.02866	0.96372	1.10431	cp26
17453	1.02866	0.96372	1.10431	cp26
17463	1.02866	0.96372	1.10431	cp26
17464	1.02866	0.96372	1.10431	cp26
17490	1.02866	0.96372	1.10431	cp26
17493	1.02866	0.96372	1.10431	cp26
17501	1.02856	0.96307	1.10431	cp26
17506	1.02856	0.96307	1.10431	cp26
17513	1.02856	0.96307	1.10431	cp26
17543	1.02856	0.96307	1.10431	cp26
17633	1.02856	0.96307	1.10431	cp26
17634	1.02856	0.96307	1.10431	cp26
17956	0.92156	0.09489	1.10092	cp26
17958	0.08489	0.00357	0.13744	cp26
17964	0.08489	0.00357	0.13744	cp26
17967	0.08489	0.00357	0.13744	cp26
17973	0.08489	0.00357	0.13744	cp26
17974	0.08489	0.00357	0.13744	cp26
17998	0.08489	0.00357	0.13744	cp26
18002	0.20759	0.06837	1.04952	cp26
18013	0.08411	0.00082	0.13774	cp26
18019	0.08357	0.00082	0.13744	cp26
18050	0.08357	0.00082	0.13744	cp26
18065	0.08357	0.00082	0.13744	cp26
18095	0.08332	0.00082	0.13672	cp26
18128	0.08263	0.00081	0.13594	cp26
18133	0.08066	0.00080	0.13315	cp26
18154	0.07567	0.00074	0.12671	cp26
18157	0.06840	0.00064	0.11860	cp26
18176	0.06158	0.00046	0.11258	cp26
18188	0.04832	0.00037	0.10453	cp26
18190	0.03920	0.00031	0.09365	cp26
18242	0.03713	0.00029	0.09147	cp26
18245	0.07355	0.00032	0.50123	cp26
18251	0.05470	0.00029	0.31808	cp26
18275	0.05453	0.00025	0.32655	cp26
18286	0.04703	0.00021	0.32101	cp26
18293	0.02727	0.00015	0.20165	cp26
18312	0.00691	0.00014	0.07231	cp26
18313	0.00374	0.00012	0.01245	cp26
18347	0.00327	0.00012	0.01145	cp26
18353	0.00322	0.00012	0.01144	cp26
18374	0.00322	0.00012	0.01144	cp26
18380	0.00322	0.00012	0.01144	cp26
18382	0.00322	0.00012	0.01144	cp26
18437	0.00322	0.00012	0.01144	cp26
18443	0.00322	0.00012	0.01144	cp26
18455	0.00322	0.00012	0.01144	cp26
18485	0.00322	0.00012	0.01144	cp26
18503	1.01807	0.99254	1.05066	cp26
18521	0.00015	0.00001	0.00048	cp26
18535	0.00015	0.00001	0.00048	cp26
18554	0.00015	0.00001	0.00048	cp26
18566	0.00015	0.00001	0.00048	cp26
18568	0.00015	0.00001	0.00048	cp26
18569	0.00015	0.00001	0.00048	cp26
18572	0.00015	0.00001	0.00048	cp26
18575	0.00015	0.00001	0.00048	cp26
18578	0.00015	0.00001	0.00048	cp26
18581	0.00015	0.00001	0.00048	cp26
18593	0.00015	0.00001	0.00048	cp26
18596	0.00015	0.00001	0.00048	cp26
18626	0.00015	0.00001	0.00048	cp26
18635	0.00015	0.00001	0.00048	cp26
18659	0.00015	0.00001	0.00048	cp26
18665	0.00015	0.00001	0.00048	cp26
18667	0.00015	0.00001	0.00048	cp26
18675	0.00015	0.00001	0.00048	cp26
18681	0.00015	0.00001	0.00048	cp26
18725	0.00015	0.00001	0.00048	cp26
18739	0.00015	0.00001	0.00048	cp26
18742	0.00015	0.00001	0.00048	cp26
18808	0.00015	0.00001	0.00048	cp26
18809	0.00015	0.00001	0.00048	cp26
18827	0.00015	0.00001	0.00048	cp26
18833	0.00015	0.00001	0.00048	cp26
18847	0.00015	0.00001	0.00048	cp26
18850	0.00015	0.00001	0.00048	cp26
18902	0.00015	0.00001	0.00048	cp26
18914	0.00015	0.00001	0.00048	cp26
18939	0.00015	0.00001	0.00048	cp26
18950	0.00015	0.00001	0.00048	cp26
18952	0.00015	0.00001	0.00048	cp26
18964	0.00015	0.00001	0.00048	cp26
18970	0.00015	0.00001	0.00048	cp26
18971	0.00015	0.00001	0.00048	cp26
18989	0.00015	0.00001	0.00048	cp26
18992	0.00015	0.00001	0.00048	cp26
18994	0.00015	0.00001	0.00048	cp26
19009	0.00015	0.00001	0.00048	cp26
19090	0.00015	0.00001	0.00048	cp26
19138	0.00015	0.00001	0.00048	cp26
19145	0.00015	0.00001	0.00048	cp26
19229	0.00015	0.00001	0.00048	cp26
19248	0.00015	0.00001	0.00048	cp26
19255	0.00015	0.00001	0.00048	cp26
19280	0.00015	0.00001	0.00048	cp26
19313	0.00461	0.00001	0.00057	cp26
19336	0.33769	0.30648	0.35884	cp26
19376	0.33935	0.30679	0.35893	cp26
19391	0.33694	0.30043	0.35823	cp26
19488	0.33675	0.29965	0.35806	cp26
19509	0.33675	0.29965	0.35806	cp26
19559	0.33675	0.29965	0.35806	cp26
19665	0.33644	0.29725	0.35777	cp26
19691	0.33644	0.29725	0.35777	cp26
19707	0.33616	0.29571	0.35748	cp26
19724	0.33610	0.29386	0.35748	cp26
19762	0.33610	0.29386	0.35748	cp26
19772	0.33610	0.29386	0.35748	cp26
19881	0.33606	0.29296	0.35748	cp26
20061	0.33606	0.29296	0.35748	cp26
20099	0.33606	0.29296	0.35748	cp26
20130	0.33606	0.29296	0.35748	cp26
20154	0.33606	0.29296	0.35748	cp26
20207	0.33606	0.29296	0.35748	cp26
20244	0.33606	0.29296	0.35748	cp26
20250	0.33606	0.29296	0.35748	cp26
20326	0.33606	0.29296	0.35748	cp26
20391	0.33606	0.29296	0.35748	cp26
20466	0.33606	0.29296	0.35748	cp26
20535	0.33606	0.29296	0.35748	cp26
20550	0.33606	0.29296	0.35748	cp26
20646	0.33606	0.29296	0.35748	cp26
20648	0.33606	0.29296	0.35748	cp26
20694	0.33606	0.29296	0.35748	cp26
20763	0.33606	0.29296	0.35748	cp26
20778	0.33606	0.29296	0.35748	cp26
20882	0.33606	0.29296	0.35748	cp26
20930	0.33606	0.29296	0.35748	cp26
21099	0.33606	0.29296	0.35748	cp26
21248	0.33607	0.29296	0.35748	cp26
21264	0.33607	0.29296	0.35748	cp26
21442	0.33615	0.29296	0.35775	cp26
21540	0.33711	0.29571	0.35855	cp26
21579	0.33973	0.29909	0.36343	cp26
21623	0.34879	0.31182	0.56133	cp26
21653	0.35655	0.31546	0.64516	cp26
21959	0.35768	0.31561	0.65566	cp26
21978	0.36341	0.31753	0.68492	cp26
22008	0.36684	0.31824	0.69301	cp26
22053	0.37834	0.31848	0.76704	cp26
22218	0.38537	0.31886	0.81138	cp26
22387	0.38499	0.31848	0.81396	cp26
22408	0.36268	0.18221	0.70138	cp26
22433	0.34250	0.16439	0.61714	cp26
22587	0.31675	0.15833	0.36888	cp26
22720	0.30353	0.15670	0.35882	cp26
22807	0.28753	0.15506	0.35721	cp26
22809	0.27018	0.15342	0.35536	cp26
22908	0.25124	0.15048	0.35307	cp26
22926	0.23389	0.14976	0.35067	cp26
22943	0.22057	0.14874	0.34823	cp26
22944	0.21206	0.14774	0.34575	cp26
22971	0.19854	0.14655	0.34243	cp26
22982	0.18679	0.14581	0.34047	cp26
22983	0.18057	0.14539	0.33740	cp26
22995	0.17886	0.14524	0.33560	cp26
23003	0.17750	0.14517	0.33437	cp26
23086	0.17704	0.14514	0.33345	cp26
23129	0.17456	0.14464	0.32637	cp26
23209	0.17163	0.14399	0.20404	cp26
23275	0.16973	0.14344	0.19862	cp26
23431	0.16852	0.14309	0.19692	cp26
23479	0.16803	0.14259	0.19627	cp26
23486	0.16794	0.14259	0.19601	cp26
23487	0.16794	0.14259	0.19601	cp26
23488	0.16794	0.14259	0.19601	cp26
23517	0.16794	0.14259	0.19601	cp26
23684	0.16794	0.14259	0.19601	cp26
23729	0.16794	0.14259	0.19601	cp26
23735	0.16794	0.14259	0.19601	cp26
23755	0.16794	0.14259	0.19601	cp26
23777	0.16794	0.14259	0.19601	cp26
23816	0.16794	0.14259	0.19601	cp26
23834	0.16794	0.14259	0.19601	cp26
23857	0.16794	0.14259	0.19601	cp26
23890	0.16794	0.14259	0.19601	cp26
24036	0.16794	0.14259	0.19601	cp26
24074	0.16794	0.14259	0.19601	cp26
24097	0.16794	0.14259	0.19601	cp26
24167	0.16794	0.14259	0.19601	cp26
24277	0.16794	0.14259	0.19601	cp26
24330	0.16794	0.14259	0.19601	cp26
24367	0.16794	0.14259	0.19601	cp26
24409	0.16794	0.14259	0.19601	cp26
24428	0.16794	0.14259	0.19601	cp26
25082	0.16794	0.14259	0.19601	cp26
25148	0.16794	0.14259	0.19601	cp26
25184	0.16794	0.14259	0.19601	cp26
25589	0.16794	0.14259	0.19601	cp26
25595	0.16794	0.14259	0.19601	cp26
25664	0.16794	0.14259	0.19601	cp26
25710	0.16794	0.14259	0.19601	cp26
25988	0.16794	0.14259	0.19601	cp26
26000	0.16794	0.14259	0.19601	cp26
26282	0.16806	0.14259	0.19627	cp26
26306	0.16806	0.14259	0.19627	cp26
583	0.87277	0.72116	1.02066	lp54
948	0.87277	0.72116	1.02066	lp54
990	0.87277	0.72116	1.02066	lp54
992	0.87277	0.72116	1.02066	lp54
995	0.87277	0.72116	1.02066	lp54
1059	0.87277	0.72116	1.02066	lp54
1191	0.87277	0.72116	1.02066	lp54
1360	0.87277	0.72116	1.02066	lp54
2154	0.87277	0.72116	1.02066	lp54
2398	0.87277	0.72116	1.02066	lp54
2689	0.87207	0.72116	1.02018	lp54
2812	0.87207	0.72116	1.02018	lp54
2825	0.87160	0.71850	1.01967	lp54
4103	0.87077	0.71845	1.01874	lp54
4114	0.87077	0.71845	1.01874	lp54
4201	0.87077	0.71845	1.01874	lp54
4371	0.87077	0.71845	1.01874	lp54
4394	0.87077	0.71845	1.01874	lp54
4395	0.87077	0.71845	1.01874	lp54
4618	0.87077	0.71845	1.01874	lp54
4691	0.87077	0.71845	1.01874	lp54
4760	0.87077	0.71845	1.01874	lp54
4763	0.87010	0.71618	1.01742	lp54
4780	0.87010	0.71618	1.01742	lp54
